abandon v.放弃
all adj.全部的 adv.全部地
allow v.允许;给予
allowance n.津贴，补助
almost adv.几乎，差不多
alone adj.单独的 adv.独自地
along adv.沿着 prep.一起
alongside adv./prep.沿着，并肩
already adv.已经
also adv.也，同样
alternative n.可供选择的事物
although conj.尽管，虽然
altitude n.高度;海拔
altogether adv.完全地
aluminum n.铝
always adv.总是，一直
ambassador n.大使
ambiguous adj.模糊不清的
ambition n.雄心，抱负
ambulance n.救护车
among prep.在...之中
amount n.数量;总额
ample adj.足够的，宽敞的
amuse v.娱乐;使发笑
amusement n.娱乐
ancient adj.古代的，古老的
and conj.和，又
angle n.角度;观点
anger n.愤怒
angle n.角度
angry adj.生气的，愤怒的
animal n.动物
ankle n.踝，踝关节
announce v.宣布，宣告
announcement n.通告，布告
annoy v.使烦恼;打搅
annual adj.每年的 n.年刊
another adj.另一个的
answer n.回答;答案 v.回答
anticipate v.预期，期待
anxiety n.焦虑;渴望
anxious adj.焦虑的;渴望的
any adj.任何的 pron.任何
anybody pron.任何人
anyhow adv.无论如何
anyone pron.任何人
anything pron.任何事
anyway adv.无论如何
anywhere adv.任何地方
apart adv.分离，分开
apartment n.一套公寓房间
apologize v.道歉
apology n.道歉
apparatus n.器械，仪器;器官
apparent adj.显然的，表面上的
appeal v./n.呼吁;吸引
appear v.出现;似乎
appearance n.出现;外貌
appendix n.附录;阑尾
appetite n.食欲;欲望
applaud v.鼓掌
applause n.鼓掌，喝彩
apply v.申请;应用
appoint v.任命;约定
appointment n.任命;约定
appreciate v.欣赏;感激
appreciation n.欣赏;感激
approach v.接近 n.途径
appropriate adj.适当的;合适的
approval n.赞成;批准
approve v.赞成;批准
approximately adv.大约，近似
arbitrary adj.任意的;武断的
architecture n.建筑学;建筑式样
area n.面积;地区
argue v.争论，争辩
argument n.争论，辩论
arise v.出现;由...引起
arithmetic n.算术
arm n.手臂;武器 v.武装
armed adj.武装的
army n.军队
around adv.在周围;大约
arouse v.唤醒;激起
arrange v.安排;排列
arrangement n.安排;排列
array n.大批;排列
arrest v.逮捕;阻止
arrival n.到达;到来
arrive v.到达;达到
arrow n.箭;箭头
art n.艺术;美术
article n.文章;物品
artificial adj.人造的;假的
artist n.艺术家;画家
artistic adj.艺术的;艺术家的
as adv.像...一样 prep.作为
ascertain v.确定;查明
ashamed adj.羞愧的;惭愧的
ashore adv.上岸;到岸
aside adv.在旁边;此外
ask v.问;要求
asleep adj.睡着的
aspect n.方面;面貌
assemble v.集合;装配
assembly n.集合;装配
assess v.对...进行评估
assessment n.评估;评价
assign v.分配;指派
assignment n.分配;任务
assist v.帮助;协助
assistance n.帮助;援助
assistant n.助手;助教
associate v.联想;联合
association n.协会;联合
assume v.假定;承担
assumption n.假定;承担
assure v.保证;使确信
astonish v.使惊讶;使吃惊
astronomy n.天文学
athlete n.运动员
athletic adj.运动的;竞技的
atom n.原子
atomic adj.原子的
attach v.附加;依恋
attachment n.附加;依恋
attack v./n.攻击;抨击
attempt v.尝试 n.企图
attend v.出席;照顾
attendance n.出席;参加
attention n.注意;关心
attitude n.态度;看法
attorney n.律师
attract v.吸引;引起
attraction n.吸引;吸引力
attractive adj.吸引人的
audience n.观众;听众
author n.作者;作家
authority n.权威;官方
auto n.汽车
autumn n.秋天，秋季
available adj.可用的;有空的
avenue n.林荫道;途径
average n.平均数 adj.平均的
avoid v.避免;避开
await v.等候;期待
awake adj.醒着的 v.唤醒
award n.奖 v.授予
aware adj.意识到的;知道的
away adv.离开;远离
awful adj.可怕的;糟糕的
awkward adj.尴尬的;笨拙的
axe n.斧子
axis n.轴;轴线
bachelor n.单身汉;学士
back adv.回原处;向后 n.背
background n.背景;出身
backward adv.向后地 adj.发展迟缓的
bacon n.咸肉;腊肉
bacterium n.细菌
bad adj.坏的;低劣的
badly adv.非常;坏
badminton n.羽毛球
bag n.袋;包
baggage n.行李
bake v.烤，烘;烧硬
balance n.天平;平衡 v.权衡
balcony n.阳台;包厢
ball n.球;舞会
balloon n.气球;飞船
ballot n.投票;抽签 v.投票
bamboo n.竹
ban n.禁令 v.禁止;取缔
banana n.香蕉
band n.乐队;带;帮
bandage n.绷带 v.用绷带包扎
bang n.巨响;猛击
bank n.银行;岸
banner n.旗帜;横幅
bar n.条;酒吧;条形
barbecue n.烤肉;烤肉架
barber n.理发师
bare adj.赤裸的;无遮蔽的
bargain n.便宜货 v.讨价还价
bark n.树皮;狗叫 v.叫
barn n.谷仓;畜棚
barrel n.桶;枪管
barren adj.贫瘠的;不育的
barrier n.障碍;屏障
base n.基础;基地 v.基于
baseball n.棒球
basement n.地下室;地窖
basic adj.基本的;基础的
basically adv.基本上
basin n.盆;流域
basis n.基础;根据
basket n.篮子
basketball n.篮球
bat n.球拍;短棍;蝙蝠
bath n.洗澡;浴室
bathe v.洗澡;弄湿
bathroom n.浴室;盥洗室
battery n.电池;排炮
battle n.战斗;战役 v.战斗
bay n.海湾;狗吠声
be v.是;成为
beach n.海滩;沙滩
beam n.梁;笑容 v.发光
bean n.豆;豆科植物
bear n.熊 v.忍受;支撑
beard n.胡须
bearing n.支承;忍受
beat v.打;打败 n.节拍
beautiful adj.美丽的;出色的
beauty n.美;美人
because conj.因为
become v.变成;适合
bed n.床;圃
bee n.蜜蜂
beef n.牛肉
beer n.啤酒
before prep.在...之前 adv.以前
beg v.乞求;恳求
begin v.开始
beginning n.开始;开端
behalf n.代表某人
behave v.表现;（使）守规矩
behavior n.行为;举止
behind prep.在...后面 adv.在后面
being n.存在;生物
belief n.信任;信念
believe v.相信;认为
bell n.钟;铃
belong v.属于;附属
beloved adj.亲爱的 n.爱人
below prep.在...下面 adv.在下面
belt n.带;腰带;地带
bench n.长凳;工作台
bend v.弯曲;屈服 n.弯曲
beneath prep.在...下方
benefit n.利益;恩惠 v.有益于
beside prep.在...旁边
besides adv.此外;而且
best adj.最好的 n.最好
bet v.赌;打赌 n.赌注
betray v.背叛;泄露
better adj.较好的 adv.更好地
between prep.在...之间
beyond prep.在...的那边
bias n.偏见;偏袒
bicycle n.自行车;脚踏车
bid v.出价;投标 n.出价
big adj.大的
bike n.自行车
bind v.捆绑;装订
biology n.生物学
bird n.鸟;禽
birth n.出生;出身
birthday n.生日
biscuit n.饼干
bit n.一点;少量
bite v.咬;剌痛 n.咬;一口
bitter adj.痛苦的;严寒的
black adj.黑色的 n.黑色
blackboard n.黑板
blade n.刀刃;叶片
blame v.责备;归咎于
blank adj.空白的 n.空白
blanket n.毯子;羊毛毯
blast n.爆炸;一阵风 v.爆炸
blaze n.火焰;光辉 v.燃烧
bleed v.出血;流血
blend v.混和;调配
bless v.祝福;保佑
blind adj.瞎的;盲目的
block n.街区;块 v.阻塞
blood n.血;血液
bloom n.花;开花 v.开花
blow v.吹;爆炸 n.打击
blue adj.蓝色的 n.蓝色
board n.木板;委员会
boast v.自夸;夸耀
boat n.船;小船
body n.身体;主体
boil v.沸腾;汽化 n.沸腾
bomb n.炸弹 v.轰炸
bond n.债券;结合 v.结合
bone n.骨头;骨骼
bonus n.奖金;红利
book n.书;本子 v.预定
boom n.繁荣;低沉的声音 v.急速发展
boost v.促进;增加 n.推动
boot n.靴;靴子
booth n.货摊;公用电话亭
border n.边界;国界
bore v.使厌烦;钻孔
born adj.出生的;天生的
borrow v.借;借用
bosom n.胸;胸怀
boss n.老板;领班
both adj.两个...(都) pron.两者
bother v.烦扰;打扰
bottle n.瓶子;一瓶的容量
bottom n.底部;底
bounce v.弹跳;弹起
bound adj.有义务的;受约束的
boundary n.分界线;界限
bow v.鞠躬;弯腰 n.弓
bowl n.碗;一碗的容量
box n.盒子;箱子
boy n.男孩;小伙子
brain n.大脑;头脑
brake v.刹车;减速 n.刹车
branch n.树枝;分部
brand n.商标;牌子 v.打烙印
brass n.黄铜;铜器
brave adj.勇敢的;华丽的
bread n.面包
break v.打破;中断 n.休息
breakfast n.早餐
breast n.胸;乳房
breath n.呼吸;气息
breathe v.呼吸
breed v.繁殖;饲养 n.品种
breeze n.微风;和风
brick n.砖;砖块
bride n.新娘
bridge n.桥;桥牌
brief adj.简短的 v.简短介绍
bright adj.明亮的;聪明的
brilliant adj.光辉的;杰出的
brim n.边缘;帽沿
bring v.拿来;带来
brisk adj.活泼的;清新的
broaden v.放宽;变宽
broadly adv.宽广地;概括地
broadcast v./n.广播;播放
broken adj.破碎的;坏掉的
bronze n.青铜;青铜色
brook n.小溪;小河
broom n.扫帚
brother n.兄弟;同胞
brow n.眉毛;额
brown n./adj.棕色（的）
brush n.刷子;画笔 v.刷;擦过
bubble n.气泡;泡沫 v.起泡
bucket n.水桶;吊桶
bud n.芽;花蕾
budget n.预算;开支
buffalo n.水牛;布法罗
build v.建造;建设
builder n.建筑者;建造师
building n.建筑;建筑物
bulb n.电灯泡;球状物
bulk n.体积;大批
bull n.公牛;雄的
bullet n.子弹;弹丸
bunch n.一串;一束
bundle n.捆;包袱 v.收集
burden n.负担;责任
bureau n.局;司;处
burn v.燃烧;烧毁
burning adj.燃烧的;热烈的
burst v.爆炸;突然破裂
bury v.埋葬;埋藏
bus n.公共汽车;总线
bush n.灌木;灌木丛
business n.商业;事务
busy adj.忙的;繁忙的
but conj.但是 prep.除了
butcher n.屠夫;肉店
butter n.黄油;奶油
butterfly n.蝴蝶
button n.纽扣;按钮 v.扣紧
buy v.买;购买
buzz v.发嗡嗡声;嗡嗡叫
cabbage n.卷心菜;白菜
cabin n.小屋;船舱
cabinet n.橱柜;内阁
cable n.电缆;电报 v.打电报
cache n.缓存;隐藏的贮藏所
cactus n.仙人掌
cadre n.干部;骨架
cage n.笼子
caress n./v.爱抚;轻抚
cargo n.（船、飞机等的）货物
carol n.颂歌;欢乐的歌
carpet n.地毯
carriage n.四轮马车;运输
carrier n.搬运人;带菌者
carrot n.胡萝卜
cart n.二轮运货马车
cartoon n.卡通;动画片
carve v.雕刻;切
case n.情况;病例
cash n.现金 v.兑现
cashier n.出纳员
casino n.赌场
cast v.投掷;铸造
castle n.城堡;象棋中的车
casual adj.偶然的;非正式的
casualty n.伤亡人员;事故
cat n.猫
catalog n.目录
catastrophe n.灾难;灾祸
catch v.捕捉;赶上
category n.种类;范畴
cater v.迎合;满足
cathedral n.大教堂
Catholic adj.天主教的 n.天主教徒
cattle n.牛;牲畜
cause n.原因;事业 v.引起
caution n.小心;警告
cautious adj.谨慎的
cave n.洞穴
cease v.停止;结束
ceiling n.天花板;上限
celebrate v.庆祝;颂扬
celebration n.庆祝;庆典
celebrity n.名人;名望
cell n.细胞;电池;牢房
cellar n.地下室;酒窖
cement n.水泥;胶合剂
cemetery n.墓地
censor n.检查员 v.审查
census n.人口普查
cent n.百;分
centigrade n./adj.摄氏温度计（的）
central adj.中央的;主要的
centre n.中心 v.集中
century n.世纪;百年
ceremony n.典礼;仪式
certain adj.确定的;某
certainly adv.一定;当然
certainty n.确定;肯定
certificate n.证书;证件
certify v.证明;证实
chain n.链;一连串
chair n.椅子;主席
chairman n.主席
chalk n.粉笔
challenge n.挑战;挑战书
chamber n.房间;腔
champion n.冠军;拥护者
chance n.机会;可能性
chancellor n.总理;校长
change n.变化;零钱 v.改变
channel n.频道;海峡
chaos n.混乱;混沌
chap n./v.使劈开;鞭打
chapter n.章;回
character n.性格;字符
characteristic adj.特有的 n.特性
characterize v.描述;成为...的特征
charge n.费用;控告 v.充电;指控
charity n.慈善;施舍
charm n.魅力;魔法
chart n.图表;海图
charter n.宪章;特许证
chase v.追逐;追捕
chat v.聊天;闲谈
cheap adj.便宜的;低劣的
cheat v.欺骗;作弊
check n.检查;支票 v.检查;托运
cheek n.脸颊;面颊
cheer v.欢呼;鼓舞
cheese n.奶酪
chef n.厨师;大厨
chemical adj.化学的 n.化学品
chemist n.化学家;药剂师
chemistry n.化学
cheque n.支票
cherry n.樱桃;樱桃树
chess n.国际象棋
chest n.胸部;箱子
chicken n.鸡;鸡肉
chief adj.主要的 n.首领
child n.儿童;孩子
childhood n.童年;幼年
chimney n.烟囱;烟筒
chin n.下巴
china n.瓷器;中国
chocolate n.巧克力
choice n.选择;选择权
choir n.唱诗班;合唱团
choke v.窒息;阻塞
choose v.选择;挑选
chop v.砍;切细
chord n.弦;和弦
chorus n.合唱;合唱曲
Christ n.基督;耶稣
Christian n.基督徒 adj.基督教的
Christmas n.圣诞节
chronic adj.慢性的;长期的
church n.教堂;教会
cigarette n.香烟;纸烟
cinema n.电影院;电影
circle n.圆;周期 v.环绕
circulate v.循环;流通
circumference n.圆周;周长
circumstance n.环境;情况
citizen n.公民;居民
city n.城市;都市
civil adj.公民的;民间的
civilization n.文明;教化
civilize v.使文明;教育
claim v.声称;要求 n.索赔
clap v.拍手;鼓掌
clarify v.澄清;阐明
clarity n.清晰;明确
clash n.冲突;撞击声
clasp n.扣子;紧握
class n.阶级;班级
classic adj.经典的 n.经典著作
classical adj.古典的;经典的
classification n.分类;分级
classify v.分类;归类
classroom n.教室
claw n.爪;钳子
clay n.粘土;泥土
clean adj.清洁的 v.打扫
clear adj.清晰的 v.清除
clearance n.清除;批准
clergy n.牧师;神职人员
clerk n.职员;店员
clever adj.聪明的;机敏的
click v.点击 n.点击声
client n.客户;顾客
climate n.气候;风气
climax n.高潮;顶点
climb v.攀登;爬升
clinic n.诊所;门诊部
clinical adj.临床的
clip n.夹子;回形针
clock n.钟;时钟
clockwise adj./adv.顺时针方向（的）
clone n.克隆;复制品
close adj.亲密的;近的 v.关闭
closed adj.关闭的;有限的
closet n.壁橱;小房间
cloth n.布;衣料
clothes n.衣服;服装
clothing n.衣物;服装
cloud n.云;云朵
cloudy adj.多云的;模糊的
club n.俱乐部;球棒
clue n.线索;提示
clumsy adj.笨拙的;愚笨的
cluster n.串;丛 v.群聚
clutch v.抓住;握紧
coach n.教练;长途汽车
coal n.煤;煤块
coast n.海岸;海滨
coastal adj.海岸的;沿海的
coat n.外套;涂层
cocaine n.可卡因
cock n.公鸡;雄鸡
code n.代码;编码 v.编码
coffee n.咖啡;咖啡豆
coffin n.棺材;柩
coil n.线圈 v.卷
coin n.硬币;货币
coincide v.巧合;一致
coincidence n.巧合;巧事
cold adj.冷的 n.寒冷
coleslaw n.凉拌卷心菜丝
collapse v.倒塌;崩溃
collar n.衣领;颈圈
colleague n.同事;同僚
collect v.收集;聚集
collection n.收集;收藏
collective adj.集体的;共同的
college n.学院;大学
collision n.碰撞;冲突
colonel n.陆军上校
colonial adj.殖民地的;殖民的
colony n.殖民地;群体
color n.颜色 v.给...着色
column n.柱;列
comb n.梳子 v.梳头
combat n.战斗 v.战斗
combination n.结合;组合
combine v.结合;联合
come v.来;成为
comedy n.喜剧;喜剧性
comfort n.安慰;舒适 v.安慰
comfortable adj.舒适的;安逸的
comic adj.喜剧的;有趣的
command n.命令;指挥 v.命令
commander n.司令官;指挥者
comment n.评论;注释 v.评论
commerce n.商业;贸易
commercial adj.商业的;商品的
commission n.委员会;佣金
commit v.犯（错误）;承诺
commitment n.承诺;承担
committee n.委员会;全体委员
common adj.普通的;共同的
commonwealth n.联邦;共和国
communicate v.交流;传达
communication n.交流;通信
community n.社区;共同体
commute v.通勤;往返
compact adj.紧凑的 n.协定
companion n.同伴;伴侣
company n.公司;陪伴
comparable adj.可比较的;类似的
comparative adj.比较的;相对的
compare v.比较;比喻
comparison n.比较;比喻
compass n.罗盘;指南针
compassion n.同情;怜悯
compatible adj.兼容的;适合的
compel v.强迫;迫使
compensate v.补偿;赔偿
compensation n.补偿;报酬
compete v.竞争;对抗
competence n.能力;胜任
competition n.竞争;比赛
competitive adj.竞争的;有竞争力的
competitor n.竞争者;对手
compile v.编译;编纂
complain v.抱怨;投诉
complaint n.抱怨;控诉
complete adj.完整的 v.完成
completion n.完成;结束
complex adj.复杂的;复合的
complexity n.复杂;复杂性
compliance n.遵从;服从
complicate v.使复杂;使难解
complicated adj.复杂的;难解的
component n.组成部分;组件
compose v.组成;创作
composer n.作曲家;作家
composition n.作品;成分
compound n.复合物;化合物
comprehend v.理解;领会
comprehension n.理解;领悟
comprehensive adj.全面的;广泛的
compress v.压缩;紧迫
comprise v.包含;构成
compromise n.妥协 v.妥协
compute v.计算;估算
computer n.计算机;电脑
comrade n.同志;同伴
conceal v.隐藏;隐瞒
concentrate v.集中;聚集
concentration n.集中;浓度
concept n.概念;观念
conception n.概念;构想
concern n.关心;关注 v.涉及
concerned adj.有关的;关注的
concert n.音乐会;一致
concession n.让步;特许权
conciliation n.和解;调解
conclude v.结束;推断
conclusion n.结论;结束
concrete adj.具体的 n.混凝土
condemn v.谴责;判刑
condense v.压缩;使简洁
condition n.条件;状况
conduct n.行为 v.指挥
conductor n.指挥;导体
conference n.会议;协商
confess v.承认;忏悔
confidence n.信心;信任
confident adj.自信的;确信的
configuration n.结构;配置
confine v.限制;禁闭
confined adj.有限的;狭窄的
confirmation n.确认;证实
confirmatory adj.证实的;确认的
conflict n.冲突;争执
confuse v.混淆;使困惑
confusion n.混淆;迷惑
congratulate v.祝贺;恭喜
congratulation n.祝贺;恭喜
congress n.国会;代表大会
conjunction n.结合;连词
connect v.连接;联系
connection n.连接;关系
conquer v.征服;克服
conquest n.征服;征服地
conscience n.良心;道德心
conscious adj.意识到的;神志清醒的
consciousness n.意识;知觉
consecutive adj.连续的;连贯的
consensus n.一致;共识
consent n.同意;准许
consequence n.结果;后果
consequent adj.随之发生的;必然的
consequently adv.因此;所以
conservation n.保存;保护
conservative adj.保守的 n.保守派
conservatory n.温室;音乐学院
consider v.考虑;认为
considerable adj.相当大的;重要的
considerate adj.体贴的;考虑周到的
consideration n.考虑;体贴
consist v.由...组成;在于
consistent adj.一致的;连贯的
console n.控制台;操纵板
consolidate v.巩固;合并
consonant n.辅音;辅音字母
conspicuous adj.显著的;显眼的
conspiracy n.阴谋;密谋
constant adj.不变的;恒定的
constellation n.星座;星群
constitution n.宪法;体质
constitutional adj.宪法的;体质的
constrain v.强迫;限制
constraint n.强迫;限制
construct v.建造;构造
construction n.建造;建筑物
consul n.领事
consulate n.领事馆
consult v.咨询;商量
consultant n.顾问;咨询者
consume v.消耗;消费
consumer n.消费者
consumption n.消耗;消费
contact n.接触;联系 v.接触
contain v.包含;容纳
container n.容器;集装箱
contaminate v.污染;弄脏
contamination n.污染;玷污
contemplate v.沉思;注视
contemplation n.沉思;注视
contemporary adj.当代的;同时代的
contempt n.轻视;蔑视
contend v.竞争;主张
content n.内容;满足 adj.满足的
contention n.争论;争夺
contest n.竞赛;争论
context n.上下文;环境
continent n.大陆;洲
continental adj.大陆的;大陆性的
continual adj.不断的;频繁的
continue v.继续;连续
continuity n.连续;连贯性
continuous adj.连续的;持续的
contract n.合同 v.收缩
contradict v.反驳;相矛盾
contradiction n.反驳;矛盾
contrary adj.相反的 n.相反
contrast n.对比;对照 v.对比
contribute v.贡献;投稿
contribution n.贡献;捐款
control n.控制;管制 v.控制
controversial adj.引起争议的;有争议的
controversy n.争论;论战
convenience n.便利;方便
convenient adj.方便的;近便的
convention n.大会;惯例
conventional adj.惯例的;普通的
conversation n.谈话;会话
convert v.转换;改变
convey v.传达;运输
convict v.定罪 n.囚犯
conviction n.定罪;坚信
convince v.使确信;说服
convinced adj.确信的;信服的
convincing adj.令人信服的
conviction n.定罪;坚信
cook v.烹饪;煮
cookie n.饼干
cool adj.凉爽的;冷静的
cope v.处理;对付
copier n.复印机;复制机
copper n.铜;铜币
copy n.副本;摹仿 v.复制
copying n.复制;复印
copyright n.版权;著作权
coral n.珊瑚;珊瑚虫
cord n.绳;索
cordial adj.诚恳的;热忱的
core n.核心;果心
corn n.玉米;谷类
corner n.角;角落
corporation n.公司;法人
corps n.军团;兵种
corpse n.尸体;尸首
correct adj.正确的 v.改正
correction n.改正;纠正
correspond v.通信;符合
correspondence n.通信;符合
correspondent n.记者;通讯员
corresponding adj.相应的;通信的
corridor n.走廊;过道
corrupt adj.腐败的 v.贿赂
corruption n.腐败;贪污
cosmic adj.宇宙的;广大无边的
cost n.费用;成本 v.花费
costly adj.昂贵的;价值高的
costume n.服装;剧装
cosy adj.舒适的;安逸的
cottage n.小屋;村舍
cotton n.棉花;棉布
couch n.睡椅;长沙发
cough n./v.咳嗽
could modal v.可以;可能
council n.委员会;会议
counsel n.忠告;律师 v.忠告
count v.数数;计算
countess n.女伯爵
counter n.柜台;计数器
counterfeit adj.假冒的 v.伪造
country n.国家;农村
countryside n.乡下;农村
county n.郡;县
coup n.政变;意外之举
couple n.对;夫妇 v.结合
coupon n.票券;赠券
courage n.勇气;胆量
course n.课程;过程
court n.法院;球场
cousin n.堂兄弟姐妹
cove n.小湾;小港
cover v.覆盖;包括 n.封面
coverage n.覆盖;保险
cow n.母牛;奶牛
coward n.懦夫;胆小鬼
crab n.螃蟹;蟹肉
crack n.裂缝;爆裂声
crackdown n.镇压;打击
craft n.工艺;飞船
cram v.填塞;塞满
crash n.碰撞;坠毁 v.碰撞
crater n.火山口;弹坑
crawl v.爬行;蠕动
crazy adj.疯狂的;荒唐的
cream n.奶油;乳脂
create v.创造;造成
creation n.创造;创作物
creative adj.创造的;创造性的
creator n.创造者;创立者
creature n.生物;动物
credit n.信用;信任
creek n.小溪;小湾
crew n.船员;全体工作人员
cricket n.板球;蟋蟀
crime n.罪行;犯罪
criminal n.罪犯 adj.犯罪的
crisis n.危机;危险期
crisp adj.脆的;新鲜的
criterion n.标准;准则
critic n.批评家;评论家
critical adj.批评的;危险的
criticism n.批评;评论
criticize v.批评;评论
crop n.作物;产量
cross n.十字形物 v.交叉
crossing n.交叉;十字路口
crow n.乌鸦;鸡冠
crowd n.群众;一群人
crowded adj.拥挤的;塞满的
crown n.王冠;花冠
crucial adj.决定性的;重要的
crude adj.粗糙的;未加工的
cruel adj.残忍的;残酷的
cruise n.巡航;巡游
crumble v.粉碎;崩溃
crush v.压碎;拥挤
crust n.外壳;地壳
cry n.叫喊;哭声 v.哭
crystal n.水晶;晶体
cube n.立方体;立方
cubic adj.立方的;立方体的
cuisine n.烹饪;菜肴
cultivate v.培养;耕作
cultural adj.文化的;教养的
culture n.文化;教养
cup n.杯子;一杯的容量
cupboard n.碗柜;食橱
curb n.路边;抑制 v.抑制
cure v.治疗;治愈
curious adj.好奇的;稀奇的
curl n.卷曲;卷发 v.卷曲
currency n.货币;通货
current adj.当前的 n.电流
curse n.诅咒;咒骂 v.诅咒
curtain n.帘;窗帘
curve n.曲线;弯曲 v.弯曲
cushion n.垫子;坐垫
custody n.保管;监护
custom n.习惯;风俗
customary adj.习惯的;通常的
customer n.顾客;主顾
cut v.切;削减 n.切口
cute adj.可爱的;聪明的
cycle n.自行车;周期 v.循环
cylinder n.圆筒;圆柱体
daily adj.每日的 n.日报
dam n.水坝;堰堤
damage n./v.损害;损伤
damp adj.潮湿的 n.潮湿
dance n.舞;舞蹈 v.跳舞
danger n.危险;风险
dangerous adj.危险的;不安全的
dare modal v.敢;敢于
dark adj.黑暗的;深色的
darkness n.黑暗;无知
dash v.猛冲;急奔
data n.数据;资料
database n.数据库
date n.日期;约会 v.约会
daughter n.女儿
dawn n.黎明;开端 v.破晓
day n.白天;日子
daylight n.白天;日光
dead adj.死的;无生命的
deadline n.最终期限
deadly adj.致命的;非常的
deaf adj.聋的;不愿听的
deal n.交易;待遇 v.处理
dealer n.商人;分销商
dear adj.亲爱的;昂贵的
death n.死;死亡
debate n.辩论;争论 v.辩论
debt n.债务;欠债
debtor n.债务人
decade n.十年;十年期
decay v./n.衰退;衰减
deceit n.欺骗;欺诈
deceive v.欺骗;蒙蔽
December n.十二月
decent adj.适宜的;体面的
decide v.决定;下决心
decimal adj.小数的;十进制的
decision n.决定;决心
decisive adj.决定性的;果断的
deck n.甲板;牌组
declare v.声明;断言
decline v.下降;拒绝 n.衰退
decorate v.装饰;装潢
decoration n.装饰;装饰品
decrease v.减少;降低
dedicate v.奉献;致力
deed n.行为;事迹
deem v.认为;视为
deep adj.深的 adv.深地
deepen v.深化;加深
deer n.鹿
default n.违约;缺席
defeat n.失败 v.击败
defect n.缺点;缺陷 v.叛变
defective adj.有缺陷的;不完美的
defend v.防守;保卫
defendant n.被告
defense n.防御;辩护
defensive adj.防御的;自卫的
deficit n.赤字;不足额
define v.定义;使明确
definite adj.明确的;一定的
definition n.定义;清晰度
definitely adv.一定地;肯定地
defy v.违抗;藐视
degree n.度;程度;学位
delay n./v.延迟;延期
delete v.删除;擦掉
delegation n.代表团;授权
delete v.删除;擦掉
delegation n.代表团;授权
delicate adj.精美的;脆弱的
delight n.高兴 v.使高兴
delighted adj.高兴的;快乐的
deliver v.交付;发表
delivery n.交付;分娩
demand n.要求;需求 v.要求
democracy n.民主;民主政治
democratic adj.民主的;民主政治的
demonstrate v.演示;证明
demonstration n.证明;表
denote v.表示;指示
denounce v.谴责;告发
dense adj.密集的;浓厚的
density n.密度;浓度
