establish	vi. 植物定植 vt. 建立；创办；安置
debate	n. 辩论；辩论会 vt. 辩论，争论，讨论 vi. 辩论，争论，讨论
designate	vt. 指定；指派；标出；把…定名为 adj. 指定的；选定的
reconsider	vt. 重新考虑；重新审议 vi. 重新考虑
review	n. 回顾；复习；评论；检讨；检阅 vt. 回顾；检查；复审 vi. 回顾；复习功课；写评论
remodel	vt. 改造；改变；改型
redirect	n. 再直接询问 vt. 使改方向；重新寄送 adj. 再直接的
direct	adj. 直接的；直系的；亲身的；恰好的 vt. 管理；指挥；导演；指向 adv. 直接地；正好；按直系关系 vi. 指导；指挥
redefine	vt. 重新定义
reassess	vt. 再评价；再课税；再摊派
assess	vt. 评定；估价；对…征税
reevaluate	v. 再评估，再评价
re-evaluate	重估
reinterpretation	n. 重新解释
interpret	vi. 解释；翻译 vt. 说明；口译
interpretation	n. 解释；翻译；演出
misinterpretation	n. 误解；误释
lessen	vt. 使…变小；使…减轻；使…变少 vi. 减少；减轻；变小
widen	vt. 放宽 vi. 变宽
sharpen	vt. 削尖；磨快；使敏捷；加重 vi. 尖锐；变锋利
shorten	vt. 缩短；减少；变短 vi. 缩短；变短
strengthen	vt. 加强；巩固 vi. 变强；变坚挺
enlarge	vt. 扩大；使增大；扩展 vi. 扩大；放大；详述
enlarged	v. 扩大，增大（enlarge的过去分词） adj. 放大的；增大的；扩展的
endangered	adj. 濒临灭绝的；有生命危险的
enlighten	vt. 启发，启蒙；教导，开导；照耀
enlightened	v. 启迪（enlighten的过去式） adj. 开明的；文明的；进步的；被启发的
mispredict	误预测
misunderstand	vt. 误解；误会
mislead	vt. 误导；带错
misuse	vt. 滥用；误用；虐待 n. 滥用；误用；虐待
misguide	vt. 误导；使误入歧途
guide	n. 指南；向导；入门书 vt. 引导；带领；操纵 vi. 担任向导
guideline	n. 指导方针 参考
countermeasure	n. 对策；反措施；反抗手段
counteraction	n. 中和；反对的行动；抵抗；反动
counterbalance	n. 平衡力；自动抵销 vt. 使平衡；抵消
contrary	n. 相反；反面 adj. 相反的；对立的 adv. 相反地
contradictory	n. 对立物；矛盾因素 adj. 矛盾的；反对的；反驳的；抗辩的
costless	adj. 不花钱的；无须付出代价的
costly	adj. 昂贵的；代价高的
jobless	adj. 失业的，无业的；（关于）失业者的 n. 失业者
worthless	adj. 无价值的；不值钱的；卑微的
forward	n. 前锋 adj. 向前的；早的；迅速的 adv. 向前地；向将来 vt. 促进；转寄；运送
shortage	n. 缺乏，缺少；不足
advantage	n. 优势；利益；有利条件 vt. 有利于；使处于优势 vi. 获利
passage	n. 一段（文章）；走廊；通路
storage	n. 存储；仓库；贮藏所
livelihood	n. 生计，生活；营生
adulthood	n. 成年；成人期
girlhood	n. 少女时期
digitalize	v. 以洋地黄治疗
modernize	vt. 使…现代化 vi. 现代化
standardize	vt. 使标准化；用标准检验
nationalization	n. 国有化；同化，归化
voice	n. 声音；嗓音；发言权；愿望 vt. 表达；吐露
push	n. 推，决心；大规模攻势；矢志的追求 vi. 推进；增加；努力争取 vt. 推动，增加；对…施加压力，逼迫；按；说服
fire	n. 火；火灾；炮火；炉火；热情；激情；磨难 vt. 点燃；解雇；开除；使发光；烧制；激动；放枪 vi. 着火；射击；开枪；激动；烧火
thin	n. 细小部分 adj. 薄的；瘦的；稀薄的；微弱的 vt. 使瘦；使淡；使稀疏 vi. 变薄；变瘦；变淡 adv. 稀疏地；微弱地
providing	conj. 假如，以…为条件 v. 供给（provide的ing形式）；预备
check	n. <美>支票；制止，抑制；检验，核对 vi. 核实，查核；中止；打勾；将一军 vt. 检查，核对；制止，抑制；在…上打勾
traffic	n. 交通；运输；贸易； 通信量 vt. 用…作交换；在…通行 vi. 交易，买卖
room	n. 房间；空间；余地；机会；房间里所有的人 vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿 vi. 居住；住宿
squeeze	n. 压榨；紧握；拥挤；佣金 vt. 挤；紧握；勒索 vi. 压榨
spark	n. 火花；朝气；闪光 vt. 发动；鼓舞；求婚 vi. 闪烁；发火花；求婚
trigger	n. 扳机； 触发器；制滑机 vt. 引发，引起；触发 vi. 松开扳柄
even	adj. 偶数的；平坦的；相等的 adv. 甚至；即使；还；实际上 vt. 使平坦；使相等 vi. 变平；变得可比较；成为相等
promote	vi. 成为王后或其他大于卒的子 vt. 促进；提升；推销；发扬
promotion	n. 提升， 晋升；推销，促销；促进；发扬，振兴
ground	n. 地面；土地；范围；战场;根据 v. 研磨（grind的过去分词）；压迫 adj. 土地的；地面上的；磨碎的；磨过的 vt. 使接触地面；打基础；使搁浅 vi. 着陆；搁浅
groundless	adj. 无理由的
meet	vt. 满足；遇见；对付 vi. 相遇；接触 n. 集会 adj. 合适的；适宜的
count	n. 计数；计算；伯爵 vt. 计算；认为 vi. 计数；有价值
certain	adj. 某一；必然的；确信；无疑的；有把握的 pron. 某些；某几个
mean	adj. 平均的；卑鄙的；低劣的；吝啬的 vt. 意味；想要；意欲 n. 平均值 vi. 用意
front	n. 前面；正面；前线 adj. 前面的；正面的 vt. 面对；朝向；对付 vi. 朝向 adv. 在前面；向前
finance	n. 财政，财政学；金融 vt. 负担经费，供给…经费 vi. 筹措资金
feed	n. 饲料；饲养；（动物或婴儿的）一餐 vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生 vi. 吃东西；流入
jump	n. 跳跃；暴涨；惊跳 vt. 跳跃；使跳跃；跳过；突升 vi. 跳跃；暴涨；猛增
bank	n. 银行；岸；浅滩；储库 vt. 将…存入银行；倾斜转弯 vi. 堆积；倾斜转弯
press	n. 压；按；新闻；出版社； 印刷机 vt. 压；按；逼迫；紧抱 vi. 压；逼；重压
fuel	n. 燃料；刺激因素 vt. 供以燃料，加燃料 vi. 得到燃料
wired	adj. 接有电线的；以铁丝围起的；极其兴奋的 v. 以金属丝装；打电报给（wire的过去分词）
hard-wired	adj. 硬连线的，硬接线的
blow	n. 吹；打击；殴打 vt. 风吹 vi. 风吹；喘气
giant	n. 巨人；伟人； 巨大的动物 adj. 巨大的；巨人般的
look	vt. 看；期待；注意；面向；看上去像 vi. 看；看起来；注意；面向 n. 看；样子；面容
tight	adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的 adv. 紧紧地；彻底地
drop	n. 滴；落下；空投；微量；滴剂 vt. 滴；使降低；使终止；随口漏出 vi. 下降；终止
signal	n. 信号；暗号；导火线 adj. 显著的；作为信号的 vt. 标志；用信号通知；表示 vi. 发信号
human	n. 人；人类 adj. 人的；人类的
fashion	n. 时尚；时装；样式；时髦人物 vt. 使用；改变；做成…的形状
cure	n. 治疗；治愈； 疗法 vt. 治疗；治愈；使硫化；加工处理 vi. 治病；痊愈；受治疗；被硫化；被加工处理
obvious	adj. 明显的；显著的；平淡无奇的
fold	n. 折痕；信徒；羊栏 vt. 折叠；合拢；抱住；笼罩 vi. 折叠起来；彻底失败
serve	n. 发球，轮到发球 vi. 服役，服务；适合，足够；发球；招待，侍候 vt. 招待，供应；为…服务；对…有用；可作…用
swallow	n. 燕子；一次吞咽的量 vt. 忍受；吞没 vi. 吞下；咽下
model	n. 模型；典型；模范；模特儿；样式 vt. 模拟；塑造；模仿 vi. 做模型；做模特儿 adj. 模范的；作模型用的
rate	n. 比率，率；速度；价格；等级 vt. 认为；估价；责骂 vi. 责骂；被评价
considered	adj. 经过深思熟虑的；被尊重的
considerable	adj. 相当大的；重要的，值得考虑的
merit	n. 优点，价值；功绩；功过 vt. 值得 vi. 应受报答
assume	vt. 僭取；篡夺；夺取；擅用；侵占 vi. 假定；设想；承担；采取
according to	prep. 根据；按照；据（…所说）；按（…所报道） 依照；根据…所说；依据
convey	vt. 传达；运输；让与
note	n. 笔记；音符；票据；注解；纸币；便笺；照会；调子 vt. 注意；记录；注解
point out	na. 指出 指明；说明；指示
claim	n. 要求；声称；索赔；断言；值得 vt. 要求；声称；需要；认领 vi. 提出要求
deem	vt. 认为，视作；相信 vi. 认为，持某种看法；作某种评价
hold	n. 控制；保留 vi. 支持；有效；持续 vt. 持有；拥有；保存；拘留；约束或控制 又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
argue	vi. 争论，辩论；提出理由 vt. 辩论，争论；证明；说服
regard	n. 注意；尊重；问候；凝视 vi. 注意，注重；注视 vt. 注重，考虑；看待；尊敬；把…看作；与…有关
in one's view	依某人看来
sentiment	n. 感情，情绪；情操；观点；多愁善感
statement	n. 声明；陈述，叙述；报表，清单
remark	n. 注意；言辞 vt. 评论；觉察 vi. 谈论
infer	vi. 推断；作出推论 vt. 推断；推论
indicate	vt. 表明；指出；预示；象征
suggest	vt. 提议，建议；启发；使人想起；显示；暗示
imply	vt. 意味；暗示；隐含
purpose	n. 目的；用途；意志 vt. 决心；企图；打算
motive	n. 动机，目的；主题 adj. 发动的；成为动机的 vt. 使产生动机，激起
intend to	打算(做)..., 想要(做)...
contribute to	na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志) 有助于；促成；贡献
due to	un. 由于；预定；因为；亏 应归于；由於；由…引起
aim to	un. 目的在于 旨在；目的是；志在
be aimed at	针对；旨在；针对某人
in that	na. 因为；以…的理由 由于；在于；在…方面
so as to	na. (= in order to) 以便；为使 为了；为的是；使得
originate from	v. 起源于；发源于 来源于；来自；起源於
lead to	na. 通向 导致；引起；通往
illustrate	vi. 举例 vt. 阐明，举例说明；图解
mention	vt. 提到，谈到；提及，论及；说起 n. 提及，说起
cite	vt. 引用；传讯；想起；表彰
quote	n. 引用 vi. 报价；引用；引证 vt. 报价；引述；举证
attitude	n. 态度；看法；意见；姿势
title	n. 冠军；标题；头衔；权利；字幕 adj. 冠军的；标题的；头衔的 vt. 加标题于；赋予头衔；把…称为
subject	n. 主题；科目； 主语；国民 adj. 服从的；易患…的；受制于…的 vt. 使…隶属；使屈从于…
center on	un. 围绕 以…为中心；集中于；集中围绕
summarize	vt. 总结；概述 vi. 作总结；作概括
focus on	致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
regarding	prep. 关于，至于
with regard to	na. 关于；对于；为了答复；“in/with regard to”的变体 至于；就…而言；至于，就
involve	vt. 包含；牵涉；使陷于；潜心于
refer to	v. 查阅；提到 参考；涉及；谈到
feature	n. 特色，特征；容貌；特写或专题节目 vt. 特写；以…为特色；由…主演 vi. 起重要作用
characterize	vt. 描绘…的特性；具有…的特征 vi. 塑造人物
phrase	n. 短语, 习语, 措辞, 乐句 vt. 措词, 将(乐曲)分成乐句
address	n. 地址；演讲；致辞；说话的技巧；称呼 vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理
appropriate	adj. 适当的；恰当的；合适的 vt. 占用，拨出
